12262.3061028957,6584.13612211244,2172,1,1
12260.7784245874,6534.13645979783,2321,2,2
12212.8942778699,6529.73530024888,1524,3,3
12216.4654331846,6519.42014836469,1938,4,4
12163.8623015867,6472.35946495334,2148,5,5
12143.4790922623,6443.0973787277,4772,6,6
12170.007219267,6438.47020427662,2450,7,7
12210.8252476724,6417.85471860266,3068,8,8
12152.0073462042,6357.06903715752,3065,9,9
12198.7543480211,6353.70831274414,2626,10,10
12264.1063376407,6348.41860243775,2747,11,11
12268.7909587016,6345.26084661326,2727,12,12
12135.1267815797,6302.99425501797,3244,14,14
12267.377723308,6291.25060486332,3297,15,15
12169.3174682689,6290.82996889583,1470,16,16
12180.842099191,6254.5334334989,2484,17,17
12190.8479012225,6239.71708117874,2095,18,18
12221.8952778853,6222.92889931415,2380,19,19
12263.4173199958,6211.52255759406,1305,20,20
12264.4968672191,6207.28284648283,2380,22,22
12207.3088288824,6202.93353789344,23211,23,23
12264.8181321766,6201.50097647069,3350,24,24
12241.926619144,6200.59514973943,1664,25,25
12209.7646438565,6186.24227315416,4254,26,26
12258.9351284854,6174.81227889057,1756,27,27
12240.2489982475,6169.15994426616,5067,28,28
12267.1326773856,6147.28168817069,2425,30,30
12242.1852060931,6136.35711267022,3230,31,31
12258.2250775215,6135.15152768589,2894,32,32
12148.6098856821,6117.59954319331,3162,33,33
12160.587621581,6110.13029029817,2395,34,34
12223.286976838,6103.49333773618,2538,35,35
12159.1585202163,6101.84023048055,2143,36,36
12186.1667782807,6083.62740591141,3094,37,37
12214.6668529492,6081.0613464746,4107,38,38
12273.8950413901,6076.79686891406,2033,39,39
12154.4575495146,6058.59684559221,1664,40,40
12245.4377745078,6058.22447893557,2194,41,41
12183.5740960354,6056.1497408091,3048,42,42
12187.1100033991,6053.26719495106,2295,43,43
12173.1814983344,6050.58820058075,2908,44,44
12130.2923176863,6043.05869156046,2860,45,45
12150.2999868674,6030.42347106952,1748,46,46
12152.3561250175,6013.85239167434,2150,47,47
12142.4679529309,6006.65715314136,2235,48,48
12130.644903868,5954.70757296656,7241,49,49
12193.3504174085,5935.40369740011,2675,50,50
12256.6899921727,5919.02984334738,2872,51,51
12256.6696857692,5918.98807507897,3191,52,52
12228.2978602442,5863.79720156533,1685,54,54
12255.4851408361,5836.82902652967,2156,57,57
12165.8191678361,5814.73167746543,3116,58,58
12211.7822530893,5814.60361104317,2053,59,59
12177.878004464,5735.65438033575,2071,60,60
12147.4436842838,5700.36925699962,2919,61,61
12183.7800476386,5660.68378198971,2111,62,62
12255.5336715334,5662.30477019668,1831,63,63
12266.6867165264,5581.05907686934,3051,64,64
12227.0437675722,5562.32958806029,1156,65,65
12190.6872212377,5532.48869141541,20786,66,66
12223.0656556084,5522.71135430372,3314,67,67
12241.9569695685,5501.68749930621,2485,68,68
12192.5080249737,5490.2537031943,2395,69,69
12186.6586988736,5465.46033968766,2717,70,70
12198.2020159751,5459.27474165687,3007,71,71
12272.1616417866,5447.23476674568,2064,72,72
12191.9828600503,5412.8327106551,2454,73,73
12245.3176523905,5396.48361278278,2341,74,74
12252.4196063063,5392.91249157762,6845,75,75
12243.4592605094,5387.74306818597,2079,76,76
12237.5858208957,5203.74239267888,2488,77,77
12266.0601045747,5206.70670225522,5261,78,78
12268.4568833377,5199.6411850475,1198,80,80
12224.8592100995,5185.81421788373,2790,81,81
12279.9123409075,5190.95603983702,2231,83,83
12243.1095430006,5146.2178590644,1979,84,84
12243.1334627183,5145.98758831731,2353,85,85
12238.2828039687,5118.35011239824,2073,86,86
12275.6894865848,7233.88250012145,2866,88,88
12235.4072286656,7195.74470843205,2264,89,89
12243.9438993952,7101.87643557208,2293,90,90
12246.9753589018,7002.47390619529,2323,92,92
12242.9730023877,6962.62050798458,2214,93,93
12191.6175555285,6900.59922574165,2473,95,95
12236.7014700468,6871.71506287698,2474,96,96
12256.7599362148,6859.27252521974,2863,97,97
12215.9949023568,6858.8759942964,3297,98,98
12226.3488322847,6831.19600600913,5465,100,100
12241.5023016688,6770.30883274962,2584,101,101
12204.6076459037,6773.87037404563,1703,102,102
12234.5475837146,6741.96924131319,2548,103,103
12268.4731631575,6712.85095676736,1490,104,104
12220.4997192516,6683.29604722494,2102,105,105
12276.8425883839,6659.11548070155,3425,106,106
12179.9028225922,6652.73991409462,1764,108,108
12185.0473853932,6637.57966832387,1398,109,109
